序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
11,第1门,發始因地門,卷1,上品十惡,謨佛,謨,爱烦恼,佛,无漏善慧,不行·安住本位,,,安住,,「謨」表爱烦恼、「佛」表无漏善慧。上品十恶是邪见所发，此等人多修不起戒定慧，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
12,第1门,發始因地門,卷1,上品十惡,阿阿,阿,施善,阿,施善,行,有間地獄,第3门,降,,「阿阿」二字俱表施善。虽造大恶，还有这点世间微善，故堕有间地狱，偶得片刻凉风小乐。,手工逐组（门1–14 手写）,直說,那阿。謨阿。及阿阿。則雖有大惡。猶有世間微善。故於地獄之中。偶得涼風溫風等。暫時小樂。名為有間地獄。壽亦略減。,那阿。謨阿。及阿阿。則雖有大惡。猶有世間微善。故於地獄之中。偶得涼風溫風等。暫時小樂。名為有間地獄。壽亦略減。,《選佛譜》卷第一・上品十惡・L45,上品十惡
13,第1门,發始因地門,卷1,上品十惡,阿彌,阿,施善,彌,戒善,不行·安住本位,,,安住,,「阿」表施善、「彌」表戒善。上品十恶是邪见所发，此等人多修不起戒定，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
14,第1门,發始因地門,卷1,上品十惡,阿陀,阿,施善,陀,定善,不行·安住本位,,,安住,,「阿」表施善、「陀」表定善。上品十恶是邪见所发，此等人多修不成定，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
15,第1门,發始因地門,卷1,上品十惡,阿佛,阿,施善,佛,无漏善慧,行,世間福,第1门,升,,「阿佛」仗佛慈力生起施善，然惑业方强、未能即入无漏，故仅转为世间福。,承注库,直說,阿佛。則仗佛慈力。生其施善。然惑業方強。未能即階無漏。故僅轉為世福。,阿佛。則仗佛慈力。生其施善。然惑業方強。未能即階無漏。故僅轉為世福。,《選佛譜》卷第一・上品十惡・L45,上品十惡
16,第1门,發始因地門,卷1,上品十惡,彌彌,彌,戒善,彌,戒善,不行·安住本位,,,安住,,「彌彌」二字俱表戒善。上品十恶是邪见所发，此等人多持不住戒，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
17,第1门,發始因地門,卷1,上品十惡,彌陀,彌,戒善,陀,定善,不行·安住本位,,,安住,,「彌」表戒善、「陀」表定善。上品十恶是邪见所发，此等人戒定俱难，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
18,第1门,發始因地門,卷1,上品十惡,彌佛,彌,戒善,佛,无漏善慧,行,聽法雜眾,第6门,升,,「彌佛」仗佛慈力生起戒善，但惑業正強、還得不到戒體，所以只能聽聞正法——現今就見世間極惡之人偶爾來聽法，便種下善根、消滅重罪。,承注库,直說,彌佛。則仗佛慈力。生其戒善。然惑業方強。未能得戒。故僅獲聞正法。現見世間。極惡之人。偶來聽法。即種善根。消滅重罪。誠證非一。不可具述也。,彌佛。則仗佛慈力。生其戒善。然惑業方強。未能得戒。故僅獲聞正法。現見世間。極惡之人。偶來聽法。即種善根。消滅重罪。,《選佛譜》卷第一・上品十惡・L45,上品十惡
19,第1门,發始因地門,卷1,上品十惡,陀陀,陀,定善,陀,定善,不行·安住本位,,,安住,,「陀陀」二字俱表定善。上品十恶是邪见所发，此等人多入不了定，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
20,第1门,發始因地門,卷1,上品十惡,陀佛,陀,定善,佛,无漏善慧,行,取相懺,第6门,升,,「陀佛」仗佛慈力生起定善，故能顿离恶业——结立坛仪、六时行道、求佛灭罪，是名取相忏。,承注库,直說,陀佛。則仗佛慈力。生其定善。故能頓離惡業。結立壇儀。六時行道。求佛滅罪。名取相懺。,陀佛。則仗佛慈力。生其定善。故能頓離惡業。結立壇儀。六時行道。求佛滅罪。名取相懺。,《選佛譜》卷第一・上品十惡・L45,上品十惡
21,第1门,發始因地門,卷1,上品十惡,佛佛,佛,无漏善慧,佛,无漏善慧,行,下品下生,第14门,横超,,「佛佛」仗佛慈力生起慧善：临命终时虽被苦逼、来不及忆念佛的法身功德相好，仍能依善友教导一心称念佛名，即得下品下生——具如《观经》所明。,承注库,直說,佛佛。則仗佛慈力。生其慧善。故於臨命終時。雖復苦逼。不遑念佛法身功德相好。猶能依善友教。一心稱佛名號。即得下品下生。具如十六觀經所明。,佛佛。則仗佛慈力。生其慧善。故於臨命終時。雖復苦逼。不遑念佛法身功德相好。猶能依善友教。一心稱佛名號。即得下品下生。具如十六觀經所明。,《選佛譜》卷第一・上品十惡・L45,上品十惡
22,第1门,發始因地門,卷1,中品十惡,那那,那,见烦恼,那,见烦恼,行,下品畜生,第3门,降,,「那那」二字俱表见烦恼，纯恶无善，故成下品畜生，如蠛蠓蝼蚁。,手工逐组（门1–14 手写）,直說,那那等三。純惡無善。故為下品畜。如蠛蠓螻蟻等。,那那等三。純惡無善。故為下品畜。如蠛蠓螻蟻等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
23,第1门,發始因地門,卷1,中品十惡,那謨,那,见烦恼,謨,爱烦恼,行,下品畜生,第3门,降,,「那」表见烦恼、「謨」表爱烦恼，纯恶无善，故成下品畜生，如蠛蠓蝼蚁。,手工逐组（门1–14 手写）,直說,那那等三。純惡無善。故為下品畜。如蠛蠓螻蟻等。,那那等三。純惡無善。故為下品畜。如蠛蠓螻蟻等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
24,第1门,發始因地門,卷1,中品十惡,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。以有漏之施善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
25,第1门,發始因地門,卷1,中品十惡,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。以有漏之戒善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
26,第1门,發始因地門,卷1,中品十惡,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。以有漏之定善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
27,第1门,發始因地門,卷1,中品十惡,那佛,那,见烦恼,佛,无漏善慧,行,畜脩羅,第3门,降,,「那」表见烦恼、「佛」表无漏善慧，虽具惑业，仗佛力故成畜修罗。,手工逐组（门1–14 手写）,直說,那佛。謨佛。雖具惑業。仗佛力故。為畜脩羅。,那佛。謨佛。雖具惑業。仗佛力故。為畜脩羅。,《選佛譜》卷第一・中品十惡・L49,中品十惡
28,第1门,發始因地門,卷1,中品十惡,謨謨,謨,爱烦恼,謨,爱烦恼,行,下品畜生,第3门,降,,「謨謨」二字俱表爱烦恼，纯恶无善，故成下品畜生，如蠛蠓蝼蚁。,手工逐组（门1–14 手写）,直說,那那等三。純惡無善。故為下品畜。如蠛蠓螻蟻等。,那那等三。純惡無善。故為下品畜。如蠛蠓螻蟻等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
29,第1门,發始因地門,卷1,中品十惡,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。以有漏之施善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
30,第1门,發始因地門,卷1,中品十惡,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。以有漏之戒善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
31,第1门,發始因地門,卷1,中品十惡,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。以有漏之定善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
32,第1门,發始因地門,卷1,中品十惡,謨佛,謨,爱烦恼,佛,无漏善慧,行,畜脩羅,第3门,降,,「謨」表爱烦恼、「佛」表无漏善慧，虽具惑业，仗佛力故成畜修罗。,手工逐组（门1–14 手写）,直說,那佛。謨佛。雖具惑業。仗佛力故。為畜脩羅。,那佛。謨佛。雖具惑業。仗佛力故。為畜脩羅。,《選佛譜》卷第一・中品十惡・L49,中品十惡
33,第1门,發始因地門,卷1,中品十惡,阿阿,阿,施善,阿,施善,行,中品畜生,第3门,降,,「阿阿」二字俱表施善，薄有散善，故成中品畜生，如乌鹊牛马。,手工逐组（门1–14 手写）,直說,阿阿等三。薄有散善。故為中品畜。如烏鵲牛馬等。,阿阿等三。薄有散善。故為中品畜。如烏鵲牛馬等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
34,第1门,發始因地門,卷1,中品十惡,阿彌,阿,施善,彌,戒善,行,中品畜生,第3门,降,,「阿」表施善、「彌」表戒善，薄有散善，故成中品畜生，如乌鹊牛马。,手工逐组（门1–14 手写）,直說,阿阿等三。薄有散善。故為中品畜。如烏鵲牛馬等。,阿阿等三。薄有散善。故為中品畜。如烏鵲牛馬等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
35,第1门,發始因地門,卷1,中品十惡,阿陀,阿,施善,陀,定善,行,上品畜生,第3门,降,,「阿」表施善、「陀」表定善，微有定善，故成上品畜生，如麟凤龙象。,手工逐组（门1–14 手写）,直說,阿陀等三。微有定善。故為上品畜。如麟鳳龍象獅鵬等。,阿陀等三。微有定善。故為上品畜。如麟鳳龍象獅鵬等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
36,第1门,發始因地門,卷1,中品十惡,阿佛,阿,施善,佛,无漏善慧,行,聽法雜眾,第6门,升,,「阿佛」得预听法，因为已舍恶意。,承注库,直說,阿佛聽法者。已捨惡意故。,阿佛聽法者。已捨惡意故。,《選佛譜》卷第一・中品十惡・L49,中品十惡
37,第1门,發始因地門,卷1,中品十惡,彌彌,彌,戒善,彌,戒善,行,中品畜生,第3门,降,,「彌彌」二字俱表戒善，薄有散善，故成中品畜生，如乌鹊牛马。,手工逐组（门1–14 手写）,直說,阿阿等三。薄有散善。故為中品畜。如烏鵲牛馬等。,阿阿等三。薄有散善。故為中品畜。如烏鵲牛馬等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
38,第1门,發始因地門,卷1,中品十惡,彌陀,彌,戒善,陀,定善,行,上品畜生,第3门,降,,「彌」表戒善、「陀」表定善，微有定善，故成上品畜生，如麟凤龙象。,手工逐组（门1–14 手写）,直說,阿陀等三。微有定善。故為上品畜。如麟鳳龍象獅鵬等。,阿陀等三。微有定善。故為上品畜。如麟鳳龍象獅鵬等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
39,第1门,發始因地門,卷1,中品十惡,彌佛,彌,戒善,佛,无漏善慧,行,取相懺,第6门,升,,「彌佛」修取相忏，是想求得清净戒体。,承注库,直說,彌佛取相懺者。欲求淨戒故。,彌佛取相懺者。欲求淨戒故。,《選佛譜》卷第一・中品十惡・L49,中品十惡
40,第1门,發始因地門,卷1,中品十惡,陀陀,陀,定善,陀,定善,行,上品畜生,第3门,降,,「陀陀」二字俱表定善，微有定善，故成上品畜生，如麟凤龙象。,手工逐组（门1–14 手写）,直說,阿陀等三。微有定善。故為上品畜。如麟鳳龍象獅鵬等。,阿陀等三。微有定善。故為上品畜。如麟鳳龍象獅鵬等。,《選佛譜》卷第一・中品十惡・L49,中品十惡
41,第1门,發始因地門,卷1,中品十惡,陀佛,陀,定善,佛,无漏善慧,行,無生懺,第6门,升,,「陀佛」修无生忏，是依定慧起修。,承注库,直說,陀佛無生懺者。遵修定慧故。,陀佛無生懺者。遵修定慧故。,《選佛譜》卷第一・中品十惡・L49,中品十惡
42,第1门,發始因地門,卷1,中品十惡,佛佛,佛,无漏善慧,佛,无漏善慧,行,下品中生,第14门,横超,,「佛佛」下品中生，依《观经》所说。,承注库,直說,佛佛下品中生者。准觀經說故。,佛佛下品中生者。准觀經說故。,《選佛譜》卷第一・中品十惡・L49,中品十惡
43,第1门,發始因地門,卷1,下品十惡,那那,那,见烦恼,那,见烦恼,行,無財鬼,第3门,降,,「那那」二字俱表见烦恼，纯恶无善，故成无财鬼，如针毛焰口。,手工逐组（门1–14 手写）,直說,那那等三。純惡故為無財鬼。如鍼毛燄口等。,那那等三。純惡故為無財鬼。如鍼毛燄口等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
44,第1门,發始因地門,卷1,下品十惡,那謨,那,见烦恼,謨,爱烦恼,行,無財鬼,第3门,降,,「那」表见烦恼、「謨」表爱烦恼，纯恶无善，故成无财鬼，如针毛焰口。,手工逐组（门1–14 手写）,直說,那那等三。純惡故為無財鬼。如鍼毛燄口等。,那那等三。純惡故為無財鬼。如鍼毛燄口等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
45,第1门,發始因地門,卷1,下品十惡,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。以有漏之施善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
46,第1门,發始因地門,卷1,下品十惡,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。以有漏之戒善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
47,第1门,發始因地門,卷1,下品十惡,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。以有漏之定善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
48,第1门,發始因地門,卷1,下品十惡,那佛,那,见烦恼,佛,无漏善慧,行,有財鬼,第3门,降,,「那」表见烦恼、「佛」表无漏善慧，仗佛力故成有财鬼，如土谷神山川神。,手工逐组（门1–14 手写）,直說,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
49,第1门,發始因地門,卷1,下品十惡,謨謨,謨,爱烦恼,謨,爱烦恼,行,無財鬼,第3门,降,,「謨謨」二字俱表爱烦恼，纯恶无善，故成无财鬼，如针毛焰口。,手工逐组（门1–14 手写）,直說,那那等三。純惡故為無財鬼。如鍼毛燄口等。,那那等三。純惡故為無財鬼。如鍼毛燄口等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
50,第1门,發始因地門,卷1,下品十惡,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。以有漏之施善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
51,第1门,發始因地門,卷1,下品十惡,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。以有漏之戒善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
52,第1门,發始因地門,卷1,下品十惡,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。以有漏之定善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
53,第1门,發始因地門,卷1,下品十惡,謨佛,謨,爱烦恼,佛,无漏善慧,行,有財鬼,第3门,降,,「謨」表爱烦恼、「佛」表无漏善慧，仗佛力故成有财鬼，如土谷神山川神。,手工逐组（门1–14 手写）,直說,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
54,第1门,發始因地門,卷1,下品十惡,阿阿,阿,施善,阿,施善,行,少財鬼,第3门,降,,「阿阿」二字俱表施善，有此散善，故成少财鬼，如食唾啖粪之鬼。,手工逐组（门1–14 手写）,直說,阿阿等三。有散善。故為少財鬼。如食唾啖糞等。,阿阿等三。有散善。故為少財鬼。如食唾啖糞等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
55,第1门,發始因地門,卷1,下品十惡,阿彌,阿,施善,彌,戒善,行,少財鬼,第3门,降,,「阿」表施善、「彌」表戒善，有此散善，故成少财鬼，如食唾啖粪之鬼。,手工逐组（门1–14 手写）,直說,阿阿等三。有散善。故為少財鬼。如食唾啖糞等。,阿阿等三。有散善。故為少財鬼。如食唾啖糞等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
56,第1门,發始因地門,卷1,下品十惡,阿陀,阿,施善,陀,定善,行,有財鬼,第3门,降,,「阿」表施善、「陀」表定善，有此定善，故成有财鬼，如土谷神山川神。,手工逐组（门1–14 手写）,直說,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
57,第1门,發始因地門,卷1,下品十惡,阿佛,阿,施善,佛,无漏善慧,行,作法懺,第6门,升,,「阿佛」入作法忏，因下品之恶未至增上、尚可悔除。,承注库,直說,阿佛作法懺者。惡未增上。可悔除故。,阿佛作法懺者。惡未增上。可悔除故。,《選佛譜》卷第一・下品十惡・L53,下品十惡
58,第1门,發始因地門,卷1,下品十惡,彌彌,彌,戒善,彌,戒善,行,少財鬼,第3门,降,,「彌彌」二字俱表戒善，有此散善，故成少财鬼，如食唾啖粪之鬼。,手工逐组（门1–14 手写）,直說,阿阿等三。有散善。故為少財鬼。如食唾啖糞等。,阿阿等三。有散善。故為少財鬼。如食唾啖糞等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
59,第1门,發始因地門,卷1,下品十惡,彌陀,彌,戒善,陀,定善,行,有財鬼,第3门,降,,「彌」表戒善、「陀」表定善，有此定善，故成有财鬼，如土谷神山川神。,手工逐组（门1–14 手写）,直說,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
60,第1门,發始因地門,卷1,下品十惡,彌佛,彌,戒善,佛,无漏善慧,行,在家五戒,第7门,升,,「彌佛」受五戒：改恶从善。,承注库,直說,彌佛五戒者。改惡從善故。,彌佛五戒者。改惡從善故。,《選佛譜》卷第一・下品十惡・L53,下品十惡
61,第1门,發始因地門,卷1,下品十惡,陀陀,陀,定善,陀,定善,行,有財鬼,第3门,降,,「陀陀」二字俱表定善，有此定善，故成有财鬼，如土谷神山川神。,手工逐组（门1–14 手写）,直說,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,阿陀等五。或有定善。或仗佛力。故皆為有財鬼。如土穀神山川神等。,《選佛譜》卷第一・下品十惡・L53,下品十惡
62,第1门,發始因地門,卷1,下品十惡,陀佛,陀,定善,佛,无漏善慧,行,八關齋戒,第7门,升,,「陀佛」受八关斋戒：摄持其心不令散乱。,承注库,直說,陀佛八齋者。持心不散故。,陀佛八齋者。持心不散故。,《選佛譜》卷第一・下品十惡・L53,下品十惡
63,第1门,發始因地門,卷1,下品十惡,佛佛,佛,无漏善慧,佛,无漏善慧,行,下品上生,第14门,横超,,「佛佛」下品上生，依《观经》所说。,承注库,直說,佛佛下品上生者。准觀經說故。,佛佛下品上生者。准觀經說故。,《選佛譜》卷第一・下品十惡・L53,下品十惡
64,第1门,發始因地門,卷1,見取,那那,那,见烦恼,那,见烦恼,行,無間地獄,第3门,降,,「那那」具足上品恶，故堕无间狱。问：为何不入阿鼻？答：本因之中还有微善。,承注库,直說,那那具上惡。故墮無間。問。何不入阿鼻耶。答。以本因中有微善故。,那那具上惡。故墮無間。問。何不入阿鼻耶。答。以本因中有微善故。,《選佛譜》卷第一・見取・L57,見取
65,第1门,發始因地門,卷1,見取,那謨,那,见烦恼,謨,爱烦恼,行,中品畜生,第3门,降,,「那謨」中品恶，故堕中品畜生；也因微善，不堕下品畜。,承注库,直說,那謨中惡。故墮中畜。亦以微善。不墮下畜。,那謨中惡。故墮中畜。亦以微善。不墮下畜。,《選佛譜》卷第一・見取・L57,見取
